year,NDBI,NDVI,NDWI,water_occurrence,elevation,slope,B4,B8,B11,sprawl_cluster,built_up
2023,-0.13764898478984833,0.03568170592188835,0.06954225152730942,45,34,3.431375503540039,0.05665714293718338,0.06084999814629555,0.04612499848008156,3,0
2023,-0.2945481538772583,0.75481116771698,-0.6822798848152161,2,50,1.8543341159820557,0.04448571428656578,0.3183833360671997,0.17350000143051147,1,0
2023,-0.11521391570568085,0.04549974948167801,0.05351327732205391,9,39,3.8387839794158936,0.054161395877599716,0.059324998408555984,0.04706714302301407,3,0
2023,-0.08055031299591064,0.09673549979925156,-0.14184804260730743,13,42,2.7378382682800293,0.14312000572681427,0.17377500236034393,0.14786666631698608,3,0
2023,-0.17444972693920135,0.60169517993927,-0.6030633449554443,2,53,3.8388419151306152,0.08458749949932098,0.34014999866485596,0.23909999430179596,1,0
2023,0.1734274923801422,-0.17781591415405273,0.343412309885025,7,64,8.386651992797852,0.041200000792741776,0.028759999200701714,0.04082857072353363,0,0
2023,0.04236230254173279,-0.052842412143945694,0.20284491777420044,51,36,10.8013916015625,0.05561875179409981,0.050035715103149414,0.0544624999165535,0,0
2023,-0.12526924908161163,0.1640670746564865,-0.26317131519317627,3,45,4.776218891143799,0.17820000648498535,0.24815000593662262,0.19290000200271606,2,0
2023,-0.06846790015697479,0.31842106580734253,-0.3436208665370941,59,43,2.9566292762756348,0.10553000122308731,0.20413333177566528,0.17797142267227173,1,0
2023,0.07249195873737335,-0.1629628688097,0.316802442073822,66,37,6.307225704193115,0.035345833748579025,0.025439999997615814,0.02941666729748249,0,0
2023,-0.11503711342811584,0.17312800884246826,0.059199318289756775,36,34,0.0,0.051899999380111694,0.0736333355307579,0.05843999981880188,3,0
2023,0.05621914193034172,0.34529340267181396,-0.44478368759155273,11,46,8.161592483520508,0.10747499763965607,0.22084000706672668,0.2471500039100647,2,0
2023,-0.0032087331637740135,-0.217950701713562,0.2844606041908264,8,46,5.044009208679199,0.052379999309778214,0.03363333269953728,0.03341818228363991,0,0
2023,-0.06293534487485886,0.4676658511161804,-0.4408802092075348,3,32,2.01360821723938,0.07955999672412872,0.21934999525547028,0.19337500631809235,1,0
2023,0.09764529019594193,-0.056152720004320145,0.23528721928596497,19,31,5.042783260345459,0.04565000161528587,0.04079583287239075,0.04962500184774399,3,0
2023,-0.23753662407398224,0.5051880478858948,-0.5110676884651184,1,31,2.7802884578704834,0.0763000026345253,0.2320999950170517,0.14300000667572021,1,0
2023,0.2736999988555908,-0.398120254278183,0.5106689929962158,58,38,3.838693857192993,0.043800000101327896,0.01885555498301983,0.03306666761636734,0,0
2023,0.17625635862350464,-0.2543266713619232,0.4429943561553955,60,43,3.5431461334228516,0.03804999962449074,0.022619999945163727,0.03229999914765358,0,0
2023,0.015505829825997353,-0.11379937082529068,0.28418469429016113,14,43,4.102941036224365,0.03508181869983673,0.027913043275475502,0.028792306780815125,3,0
2023,-0.1558135449886322,0.5509555339813232,-0.48533862829208374,3,33,1.3689788579940796,0.07277999818325043,0.2513749897480011,0.18359999358654022,1,0
2023,0.09652511775493622,-0.20058564841747284,0.37056487798690796,70,37,2.9566729068756104,0.03689999878406525,0.024569999426603317,0.029820000752806664,0,0
2023,0.061057668179273605,0.27260521054267883,-0.37153685092926025,0,35,3.156588077545166,0.16249999403953552,0.2842999994754791,0.321274995803833,2,0
2023,-0.12016843259334564,0.4177790880203247,-0.3988662362098694,2,29,4.426394462585449,0.0992249995470047,0.24162499606609344,0.18978333473205566,1,0
2023,0.046413496136665344,-0.06376911699771881,0.05669672414660454,31,45,3.4326725006103516,0.09790000319480896,0.0861625000834465,0.0945499986410141,3,0
2023,0.11549295485019684,-0.1466287076473236,0.39306917786598206,63,35,3.0205023288726807,0.02953333407640457,0.021980000659823418,0.027720000594854355,0,0
2023,0.05841335281729698,0.30258098244667053,-0.39803579449653625,35,41,2.95662522315979,0.16196249425411224,0.30250000953674316,0.3400324881076813,2,0
2023,-0.028543246909976006,0.3405003249645233,-0.37236353754997253,26,40,3.1582250595092773,0.14116142690181732,0.28692498803138733,0.2709999978542328,2,0
2023,-0.12693695724010468,0.6483311653137207,-0.610112190246582,0,35,8.161555290222168,0.05663333460688591,0.26545000076293945,0.20565000176429749,1,0
2023,-0.07673387229442596,0.2140876203775406,-0.1662226915359497,13,39,3.157515048980713,0.07084999978542328,0.10944999754428864,0.09385000169277191,3,0
2023,0.016166280955076218,0.2886476516723633,-0.3698864281177521,0,37,2.7802884578704834,0.12385000288486481,0.22436000406742096,0.23173333704471588,2,0
2023,0.0882740393280983,-0.08851420879364014,0.23855632543563843,63,41,6.307249069213867,0.044271428138017654,0.03707142919301987,0.0442500002682209,0,0
2023,0.10216405242681503,-0.2979617714881897,0.4737522602081299,58,48,6.541656494140625,0.04448999837040901,0.024063635617494583,0.02954000048339367,0,0
